title,year,duration,country,avg_vote,votes
Avventurieri ai confini del mondo,1983,105,"USA, Yugoslavia, Hong Kong",6.1,4833
Il grande odio,1988,118,"USA, Yugoslavia",5.1,345
Capitan America,1990,97,"USA, Yugoslavia",3.2,11061
Il mio nemico,1985,108,"USA, West Germany, UK",6.9,42752
Obiettivo Brass,1978,111,"USA, West Germany, Switzerland",5.9,1087
The Rose Garden,1989,112,"USA, West Germany, Austria",6.9,330
I dannati,1951,119,"USA, West Germany",7.2,2357
Salto mortale,1953,105,"USA, West Germany",7.1,1081
La cugina Fanny,1964,104,"USA, West Germany",4.4,248
Situazione disperata ma non seria,1965,97,"USA, West Germany",6.1,324
La più allegra storia del Decamerone,1971,92,"USA, West Germany",4.1,146
Intrigo in Svizzera,1976,89,"USA, West Germany",4.9,340
Ultimi bagliori di un crepuscolo,1977,146,"USA, West Germany",6.8,2778
Barracuda,1978,98,"USA, West Germany",4.1,967
Hair,1979,121,"USA, West Germany",7.6,34338
The Apple,1980,90,"USA, West Germany",4.3,1924
Cuba Crossing,1980,90,"USA, West Germany",3.9,165
Doppio rischio,1983,85,"USA, West Germany",5.1,500
Kaan principe guerriero,1982,118,"USA, West Germany",6.2,20053
Ferestadeh,1983,103,"USA, West Germany",6.6,167
Star 80,1983,103,"USA, West Germany",6.7,5624
Stranger Than Paradise - Più strano del paradiso,1984,89,"USA, West Germany",7.5,33805
Daunbailò,1986,107,"USA, West Germany",7.8,46878
Sleepwalk,1986,78,"USA, West Germany",6.2,270
"Forever, Lulu",1987,85,"USA, West Germany",4.2,331
Magic Sticks,1987,97,"USA, West Germany",5,184
The Big Blue,1988,100,"USA, West Germany",6.8,313
Rosalie va a fare la spesa,1989,94,"USA, West Germany",6,828
Brand of Shame,1968,73,"USA, West Germany",3.7,167
Oan hon,2004,120,"USA, Vietnam",5.4,207
Chuyen tình xa xu,2009,120,"USA, Vietnam",6.6,158
Day of the Mummy,2014,81,"USA, Venezuela",2.5,826
Killer Bean Forever,2009,85,"USA, Uruguay",6.5,2719
Snitch - L'infiltrato,2013,112,"USA, United Arab Emirates, UK",6.4,81909
The Way Back,2010,133,"USA, United Arab Emirates, Poland, India",7.3,108167
Mission: Impossible - Protocollo fantasma,2011,132,"USA, United Arab Emirates, Czech Republic, India, Canada",7.4,449833
Out of the Dark,2014,92,"USA, United Arab Emirates, Colombia, Spain",4.8,3965
Amreeka,2009,96,"USA, United Arab Emirates, Canada, Kuwait, Jordan",7,3421
The Time Machine,2002,96,"USA, United Arab Emirates",6,117239
Syriana,2005,128,"USA, United Arab Emirates",6.9,124449
La città verrà distrutta all'alba,2010,101,"USA, United Arab Emirates",6.5,110013
Puzzole alla riscossa,2010,92,"USA, United Arab Emirates",3.8,15496
Fair Game - Caccia alla spia,2010,108,"USA, United Arab Emirates",6.8,46131
Ghost Rider - Spirito di vendetta,2011,96,"USA, United Arab Emirates",4.3,109111
Il mistero della pietra magica,2009,89,"USA, United Arab Emirates",4.7,6722
Mr. Beaver,2011,91,"USA, United Arab Emirates",6.6,46813
Men in Black 3,2012,106,"USA, United Arab Emirates",6.8,329608
The Double,2011,98,"USA, United Arab Emirates",5.9,28276
Zero Dark Thirty,2012,157,"USA, United Arab Emirates",7.4,266498
Flight,2012,138,"USA, United Arab Emirates",7.3,319918
Promised Land,2012,106,"USA, United Arab Emirates",6.6,35992
1981: Indagine a New York,2014,125,"USA, United Arab Emirates",7,65243
Waxwork - Benvenuti al museo delle cere,1988,95,"USA, UK, West Germany",6.2,10627
M.I.A. A Greater Evil,2018,86,"USA, UK, Thailand",3.9,216
Silence,2016,161,"USA, UK, Taiwan, Japan, Mexico, Italy",7.2,97231
Il segreto dei suoi occhi,2015,111,"USA, UK, Spain, South Korea",6.3,42046
Il signore degli anelli,1978,132,"USA, UK, Spain",6.2,29095
Il grattacielo della morte,1989,91,"USA, UK, Spain",4.2,537
Intruders,2011,100,"USA, UK, Spain",5.4,19933
Il fiume della morte,1989,107,"USA, UK, South Africa, Israel",4.4,1047
Dark Tide,2012,114,"USA, UK, South Africa, Germany, France",4.3,8117
Il Re Leone,2019,118,"USA, UK, South Africa",6.9,199521
Il figlio di Chucky,2004,87,"USA, UK, Romania",4.8,37840
Town Creek,2009,90,"USA, UK, Romania",5.3,11369
Il fondamentalista riluttante,2012,130,"USA, UK, Qatar",6.9,13156
Amabili resti,2009,135,"USA, UK, New Zealand",6.7,154536
Dark Blood,2012,86,"USA, UK, Netherlands",6.4,1159
La mummia,1999,124,"USA, UK, Morocco",7,384371
The Gospel of Luke,2015,215,"USA, UK, Morocco",6.8,270
Man on Fire - Il fuoco della vendetta,2004,146,"USA, UK, Mexico, Switzerland",7.7,323807
Il gladiatore,2000,155,"USA, UK, Malta, Morocco",8.5,1308193
World War Z,2013,116,"USA, UK, Malta",7,590172
L'isola dei sopravvissuti,2005,95,"USA, UK, Luxembourg",4.9,8994
47 Ronin,2013,128,"USA, UK, Japan, Hungary",6.3,143667
Lara Croft: Tomb Raider,2001,100,"USA, UK, Japan, Germany",5.8,195155
I figli degli uomini,2006,109,"USA, UK, Japan",7.9,456395
Brother,2000,114,"USA, UK, Japan",7.2,21454
"Ave, Cesare!",2016,106,"USA, UK, Japan",6.3,121472
Somewhere,2010,97,"USA, UK, Italy, Japan",6.3,42108
Hannibal,2001,131,"USA, UK, Italy",6.8,250009
Gosford Park,2001,131,"USA, UK, Italy",7.2,78935
Sky Captain and the World of Tomorrow,2004,106,"USA, UK, Italy",6,80904
La mia pistola per Billy,1974,99,"USA, UK, Israel",6.3,1111
La maga delle spezie,2005,92,"USA, UK, Isle Of Man, India",5.5,5125
The Walker,2007,108,"USA, UK, Isle Of Man",5.8,5171
Playboys - Donnaioli,1992,117,"USA, UK, Ireland",6.2,1108
Il regno del fuoco,2002,101,"USA, UK, Ireland",6.2,124603
King Arthur,2004,126,"USA, UK, Ireland",6.3,157683
Dracula Untold,2014,92,"USA, UK, Ireland",6.3,174045
1917,2019,119,"USA, UK, India, Spain, Canada, China",8.3,362897
Madly,2016,106,"USA, UK, India, Australia, Argentina, Japan",5.5,128
La fiera della vanità,2004,141,"USA, UK, India",6.2,20889
Il debito,2010,113,"USA, UK, Hungary, Israel",6.8,63298
Blade Runner 2049,2017,164,"USA, UK, Hungary, Canada, Spain",8,440890
Il fantasma dell'opera,1989,93,"USA, UK, Hungary",5.5,3630
Eragon,2006,104,"USA, UK, Hungary",5.1,120776
Die Hard - Un buon giorno per morire,2013,98,"USA, UK, Hungary",5.3,195632
Blood and Chocolate - La caccia al licantropo è aperta,2007,98,"USA, UK, Germany, Romania",5.4,17086
The Defender,2004,90,"USA, UK, Germany, Romania",4.9,1535
Alexander,2004,175,"USA, UK, Germany, Netherlands, France, Italy, Morocco, Thailand",5.6,160399
Virus,1999,99,"USA, UK, Germany, Japan, France",5,26145
Contaminated Man,2000,100,"USA, UK, Germany, Hungary",4.9,1023
